ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total,ranking_dinero
3841,268773001041,SUCRE,SANTANDER,COLEGIO BERNORAMA,Oficial,A,16,15,6845,233,37,7.355632782,5.618011951,5.90385294,318,307,310,58.40,62.92,85.44,68.92,46.6
3842,311001025843,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ROMULO GALLEGOS,Privado,A,24,24,6547,236,41,7.447592258,4.551979065,6.90050745,311.5,304,319.5,58.55,63.00,85.20,68.92,47.8
3843,347001000501,SANTA MARTA,MAGDALENA,COLEGIO GIMNASIO SANTIAGO DE CALI,Privado,A,31,30,1158,297,46,4.441938877,7.505517483,5.087978363,335.5,317.5,326,63.80,56.78,86.16,68.91,59.6
3844,111001086720,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO TÉCNICO  JAIME PARDO LEAL (IED),Oficial,A,79,79,3156,265,41,7.392142296,4.531758785,6.558037758,307,303,295.5,58.53,61.61,86.60,68.91,52.8
3845,311001032637,BOGOTÁ D.C.,BOGOTÁ D.C.,LICEO CUIDAD CAPITAL,Privado,A,103,99,3080,266,43,7.412652969,4.260137558,6.922617912,313,289,316,59.20,61.98,85.54,68.91,53.6
3846,115810000220,TIPACOQUE,BOYACA,IE LUCAS CABALLERO CALDERON,Oficial,A,58,53,5283,247,41,5.844048977,6.227389336,6.361038208,329.5,327,311.5,60.75,61.44,84.54,68.91,49
3847,268615000046,RIONEGRO,SANTANDER,I.E.  LA CEIBA,Oficial,A,8,8,3533,262,55,0,0,6.456420422,318,303.5,306.5,59.50,64.56,82.65,68.90,52.6
3848,176111001104,GUADALAJARA DE BUGA,VALLE,IE ACADEMICO,Oficial,A,152,147,3322,264,46,7.498934746,6.519599915,5.440796852,295,285,299.5,57.18,64.86,84.67,68.90,52.8
3849,125769000213,SUBACHOQUE,CUNDINAMARCA,INSTITUCIO EDUCATIVA DEPARTAMENTAL  RICARDO GONZALEZ,Oficial,A,119,114,3716,260,41,0,0,0,0,0,0,52.00,0.00,85.81,68.90,52
3850,308758003706,SOLEDAD,ATLANTICO,INSTITUTO SAN CARLOS DE SOLEDAD,Privado,A,33,31,4557,253,45,4.63845396,5.80973959,7.835396767,308.5,340.5,333.5,61.78,60.95,83.98,68.90,51
3851,105001026662,MEDELLÍN,ANTIOQUIA,INST EDUC LA PASTORA,Oficial,A,26,26,7142,230,39,0,0,0,278,261,277,52.30,0.00,85.50,68.90,46.2
3852,105686000474,SANTA ROSA DE OSOS,ANTIOQUIA,I. E. CARDENAL ANIBAL MUÑOZ DUQUE,Oficial,A,161,157,5231,247,34,7.474895477,5.75598526,4.979557991,307.5,310.5,303,58.40,60.70,87.60,68.90,48.8
3853,141319000570,GUADALUPE,HUILA,IE MARIA AUXILIADORA,Oficial,A,75,72,4061,257,42,7.303786278,4.966851711,6.016050816,323,315,312,60.35,60.96,85.39,68.90,51.2
3854,308634000113,SABANAGRANDE,ATLANTICO,CORPORACIÓN EDUCATIVA NIÑO JESUS,Privado,A,16,16,3392,263,41,7.865998268,4.249560833,0,333,0,0,59.60,60.58,86.51,68.90,52.8
3855,273449000141,MELGAR,TOLIMA,INSTITUCION EDUCATIVA TECNICA CUALAMANA,Oficial,A,49,49,4474,253,35,7.520204067,4.083477497,6.716552258,289.5,295.5,317.5,57.78,61.07,87.85,68.90,50.8
3856,125754000331,SOACHA,CUNDINAMARCA,INSTITUCION EDUCATIVA GENERAL SANTANDER,Oficial,A,251,240,3705,260,40,7.41994381,4.702378273,6.156096458,311.5,306.5,315.5,59.68,60.93,86.08,68.90,52
3857,144279000287,FONSECA,GUAJIRA,INSTITUCION EDUCATIVA MARIA INMACULADA,Oficial,A,68,68,2908,267,35,7.508322716,4.206629753,6.050895214,310,307.5,296.5,59.05,59.22,88.41,68.89,53.2
3858,125148000481,CAPARRAPÍ,CUNDINAMARCA,INSTITUCIO EDUCATIVA DEPARTAMENTAL SANTA GEMMA DE GALGANI,Oficial,A,60,60,5224,247,33,7.373120308,6.181157112,4.786884308,312,289.5,298,57.33,61.14,88.21,68.89,48.8
3859,173001001053,IBAGUÉ,TOLIMA,INST EDUC INEM MANUEL MURILLO TORO,Oficial,A,204,204,3165,265,42,7.409668446,5.756169319,5.223782539,318,303,295,59.05,61.30,86.32,68.89,52.8
3860,218753002648,SAN VICENTE DEL CAGUÁN,CAQUETA,I. E. R. LOS FUNDADORES,Oficial,A,19,2,9117,198,13,0,0,6.323543072,282.5,293,328.5,55.10,63.24,88.33,68.89,39.6
3861,111001027391,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO MANUEL CEPEDA VARGAS (IED),Oficial,A,214,191,3360,263,38,7.381964684,5.98022747,5.34799242,308.5,300.5,293.5,58.28,62.37,86.02,68.89,52.6
3862,315660000012,SAN EDUARDO,BOYACA,IE TEC ANTONIO NARIÑO,Oficial,A,20,20,5946,241,39,7.473263264,7.282154083,4.170270443,327.5,288.5,293,57.50,63.09,86.07,68.89,48.2
3863,285250000906,PAZ DE ARIPORO,CASANARE,IE SIMON BOLIVAR,Oficial,A,13,13,4209,255,27,5.769638538,0,5.700867176,319.5,288.5,314.5,58.88,57.35,90.43,68.88,51.4
3864,476130001208,CANDELARIA,VALLE,I.E. LA ARBOLEDA CAMPESTRE,Privado,A,24,23,3507,262,42,4.803519249,6.513879776,6.777585983,306,320.5,326,60.73,60.32,85.61,68.88,53.2
3865,111001098876,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO CAFAM LA ESPERANZA (IED),Oficial,A,116,116,3136,265,39,7.57555294,5.796397686,4.824254036,310.5,296,305,58.83,60.65,87.17,68.88,53.2
3866,219256000743,EL TAMBO,CAUCA,I.E. LA PAZ,Oficial,A,7,7,4097,256,28,0,7.17361927,4.862597466,298.5,278.5,293.5,56.33,60.18,90.14,68.88,51.4
3867,205002000611,ABEJORRAL,ANTIOQUIA,I. E. R. ZOILA DUQUE BAENA,Oficial,A,12,10,5610,244,38,4.050276279,7.524020195,7.008194923,288,336.5,340,60.43,61.94,84.28,68.88,48.4
3868,311001087148,BOGOTÁ D.C.,BOGOTÁ D.C.,COL REMBRANDT,Privado,A,69,69,3651,260,32,7.491216183,4.053350925,0,312.5,300.5,324.5,59.88,57.72,89.04,68.88,52.2
3869,215600000311,RÁQUIRA,BOYACA,IE NSTRA SRA DE LA CANDELARIA,Oficial,A,12,12,3539,261,28,7.693943024,4.135482788,5.136089802,320.5,303,311,59.78,56.55,90.31,68.88,51.8
3870,108001004790,BARRANQUILLA,ATLANTICO,INST. EDUC. DIST. ANTONIO JOSE DE SUCRE,Oficial,A,44,43,3742,260,44,7.519587517,6.219539642,4.954415321,319.5,280.5,322.5,59.13,62.31,85.20,68.88,52.6
3871,219532000493,PATÍA,CAUCA,I.E. DON ALONSO,Privado,A,10,6,9257,193,28,0,0,0,356,255.5,305,55.48,0.00,82.26,68.87,39.6
3872,313001003842,CARTAGENA DE INDIAS,BOLIVAR,COL. GONZALO JIMENEZ DE QUEZADA,Privado,A,25,24,4844,250,36,4.481227398,5.007353783,7.540058613,321.5,332,355,62.93,56.76,86.91,68.87,49.8
3873,223686000728,SAN PELAYO,CORDOBA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,Oficial,A,32,30,5855,242,42,6.353374004,5.066561699,7.398405552,289.5,280,380,59.58,62.73,84.29,68.86,48.2
3874,341548000191,PITAL,HUILA,COL COOP DOMINGO SAVIO,Privado,A,14,13,2404,273,37,7.557852745,4.892877579,5.017524242,335,310.5,304.5,61.15,58.23,87.21,68.86,54.6
3875,105615000236,RIONEGRO,ANTIOQUIA,I. E. ESCUELA NORMAL SUPERIOR DE MARIA,Oficial,A,125,118,2398,273,36,7.442712784,5.822167397,4.237468719,303,309,326,60.55,58.34,87.70,68.86,54.6
3876,352356000467,IPIALES,NARIÑO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE LAS LAJAS,Privado,A,46,46,2996,267,56,7.589390755,5.943295479,4.937414169,318,324.5,337.5,62.35,61.57,82.66,68.86,53.6
3877,344001001575,RIOHACHA,GUAJIRA,COLEGIO NUESTRA SE¥ORA DE LOS REMEDIOS,Privado,A,27,26,1310,293,39,4.51540184,6.301753521,0,342.5,312.5,345,64.65,54.09,87.82,68.85,59
3878,215491000348,NOBSA,BOYACA,I.E.T. DE NAZARETH,Oficial,A,22,22,3626,261,45,7.240740776,5.488023281,4.96175909,349,310,325.5,62.28,58.97,85.29,68.85,51.8
3879,276306000344,GINEBRA,VALLE,IE INMACULADA CONCEPCION,Oficial,A,81,81,4152,256,40,0,0,0,0,0,0,51.20,0.00,86.49,68.84,51.4
3880,220001000098,VALLEDUPAR,CESAR,I.E. GUATAPURI DE PROMOCIÓN SOCIAL DE GUATAPURÍ - CHEMESQUEMENA,Oficial,A,18,18,7815,222,35,5.530958176,4.066596985,6.758477211,356,359,375.5,65.63,54.52,86.38,68.84,43.8
3881,117616000696,RISARALDA,CALDAS,INSTITUCION EDUCATIVA MARIA INMACULADA,Oficial,A,47,46,3021,266,35,7.309515953,5.528853416,4.884041309,302,307,311.5,59.33,59.07,88.12,68.84,53.4
3882,181736001467,SARAVENA,ARAUCA,INSTITUCION EDUCATIVA JOSE EUSTASIO RIVERA,Oficial,A,146,142,2709,269,33,4.387953758,5.776218414,6.673159599,319.5,326,317.5,61.60,56.12,88.77,68.83,53.4
